Word,Definition,Topic,Difficulty,Synonym,Antonym
Good,Of a high standard or quality; very satisfactory.,antonyms,EASY,Excellent,Bad
Good,Of a high standard or quality; very satisfactory.,spellings,EASY,Excellent,Bad
Talk,To speak or have a conversation; to discuss something.,general-vocabulary,EASY,Chat,Listen
Talk,To speak or have a conversation; to discuss something.,synonyms,EASY,Chat,Listen
Talk,To speak or have a conversation; to discuss something.,antonyms,EASY,Chat,Listen
Talk,To speak or have a conversation; to discuss something.,spellings,EASY,Chat,Listen
Sagely,In a wise and thoughtful way.,general-vocabulary,MEDIUM,Wisely,Foolishly
Sagely,In a wise and thoughtful way.,synonyms,MEDIUM,Wisely,Foolishly
Sagely,In a wise and thoughtful way.,antonyms,MEDIUM,Wisely,Foolishly
Sagely,In a wise and thoughtful way.,spellings,MEDIUM,Wisely,Foolishly
Novice,"A person who is new to a skill, activity, or job; someone inexperienced.",general-vocabulary,MEDIUM,Beginner,Expert
Novice,"A person who is new to a skill, activity, or job; someone inexperienced.",synonyms,MEDIUM,Beginner,Expert
Novice,"A person who is new to a skill, activity, or job; someone inexperienced.",antonyms,MEDIUM,Beginner,Expert
Novice,"A person who is new to a skill, activity, or job; someone inexperienced.",spellings,MEDIUM,Beginner,Expert
Crest,"The top or highest point of something, especially a hill or mountain.",general-vocabulary,MEDIUM,Summit,Base
Crest,"The top or highest point of something, especially a hill or mountain.",synonyms,MEDIUM,Summit,Base
Crest,"The top or highest point of something, especially a hill or mountain.",antonyms,MEDIUM,Summit,Base
Crest,"The top or highest point of something, especially a hill or mountain.",spellings,MEDIUM,Summit,Base
Damage,To cause injury or harm to something; to make it worse.,general-vocabulary,EASY,Harm,Repair
Damage,To cause injury or harm to something; to make it worse.,synonyms,EASY,Harm,Repair
Damage,To cause injury or harm to something; to make it worse.,antonyms,EASY,Harm,Repair
Damage,To cause injury or harm to something; to make it worse.,spellings,EASY,Harm,Repair
Permanent,Lasting for a long time or forever; not temporary.,general-vocabulary,EASY,Lasting,Temporary
Permanent,Lasting for a long time or forever; not temporary.,synonyms,EASY,Lasting,Temporary
Permanent,Lasting for a long time or forever; not temporary.,antonyms,EASY,Lasting,Temporary
Permanent,Lasting for a long time or forever; not temporary.,spellings,EASY,Lasting,Temporary
Oppress,To treat someone cruelly or unfairly by using power over them; to keep under control.,general-vocabulary,HARD,Subjugate,Liberate
Oppress,To treat someone cruelly or unfairly by using power over them; to keep under control.,synonyms,HARD,Subjugate,Liberate
Oppress,To treat someone cruelly or unfairly by using power over them; to keep under control.,antonyms,HARD,Subjugate,Liberate
Oppress,To treat someone cruelly or unfairly by using power over them; to keep under control.,spellings,HARD,Subjugate,Liberate
Concede,To admit defeat or give something up; to agree after resisting.,general-vocabulary,HARD,Yield,Deny
Concede,To admit defeat or give something up; to agree after resisting.,synonyms,HARD,Yield,Deny
Concede,To admit defeat or give something up; to agree after resisting.,antonyms,HARD,Yield,Deny
Concede,To admit defeat or give something up; to agree after resisting.,spellings,HARD,Yield,Deny
Ginormous,Extremely large; gigantic.,general-vocabulary,EASY,Enormous,Tiny
Ginormous,Extremely large; gigantic.,synonyms,EASY,Enormous,Tiny
Ginormous,Extremely large; gigantic.,antonyms,EASY,Enormous,Tiny
Ginormous,Extremely large; gigantic.,spellings,EASY,Enormous,Tiny
Consideration,Careful thought or attention given to something; the act of thinking about it.,general-vocabulary,EASY,Reflection,Disregard
Consideration,Careful thought or attention given to something; the act of thinking about it.,synonyms,EASY,Reflection,Disregard
Consideration,Careful thought or attention given to something; the act of thinking about it.,antonyms,EASY,Reflection,Disregard
Consideration,Careful thought or attention given to something; the act of thinking about it.,spellings,EASY,Reflection,Disregard
Illustrious,Well-known and highly respected because of achievements.,general-vocabulary,HARD,Distinguished,Unknown
Illustrious,Well-known and highly respected because of achievements.,synonyms,HARD,Distinguished,Unknown
Illustrious,Well-known and highly respected because of achievements.,antonyms,HARD,Distinguished,Unknown
Illustrious,Well-known and highly respected because of achievements.,spellings,HARD,Distinguished,Unknown
Spasm,"A sudden, involuntary tightening or jerking of a muscle; a sudden burst of activity or emotion.",general-vocabulary,MEDIUM,Convulsion,Stillness
Spasm,"A sudden, involuntary tightening or jerking of a muscle; a sudden burst of activity or emotion.",synonyms,MEDIUM,Convulsion,Stillness
Spasm,"A sudden, involuntary tightening or jerking of a muscle; a sudden burst of activity or emotion.",antonyms,MEDIUM,Convulsion,Stillness
Spasm,"A sudden, involuntary tightening or jerking of a muscle; a sudden burst of activity or emotion.",spellings,MEDIUM,Convulsion,Stillness
Period,A length of time with particular features or events; a span of time.,general-vocabulary,EASY,Era,Instant
Period,A length of time with particular features or events; a span of time.,synonyms,EASY,Era,Instant
Period,A length of time with particular features or events; a span of time.,antonyms,EASY,Era,Instant
Period,A length of time with particular features or events; a span of time.,spellings,EASY,Era,Instant
Ebb,To lessen or gradually decline; to flow back or away (as the tide does).,general-vocabulary,MEDIUM,Subside,Flow
Ebb,To lessen or gradually decline; to flow back or away (as the tide does).,synonyms,MEDIUM,Subside,Flow
Ebb,To lessen or gradually decline; to flow back or away (as the tide does).,antonyms,MEDIUM,Subside,Flow
Ebb,To lessen or gradually decline; to flow back or away (as the tide does).,spellings,MEDIUM,Subside,Flow
Demean,To make someone seem less important or worthy; to insult or degrade.,general-vocabulary,MEDIUM,Belittle,Praise
Demean,To make someone seem less important or worthy; to insult or degrade.,synonyms,MEDIUM,Belittle,Praise
Demean,To make someone seem less important or worthy; to insult or degrade.,antonyms,MEDIUM,Belittle,Praise
Demean,To make someone seem less important or worthy; to insult or degrade.,spellings,MEDIUM,Belittle,Praise
Moral,Relating to what is right and wrong in behaviour; based on principles of good conduct.,general-vocabulary,EASY,Ethical,Immoral
Moral,Relating to what is right and wrong in behaviour; based on principles of good conduct.,synonyms,EASY,Ethical,Immoral
Moral,Relating to what is right and wrong in behaviour; based on principles of good conduct.,antonyms,EASY,Ethical,Immoral
Moral,Relating to what is right and wrong in behaviour; based on principles of good conduct.,spellings,EASY,Ethical,Immoral
Flask,"A small container, often with a lid, used for carrying liquids.",general-vocabulary,EASY,Bottle,Bucket
Flask,"A small container, often with a lid, used for carrying liquids.",synonyms,EASY,Bottle,Bucket
Flask,"A small container, often with a lid, used for carrying liquids.",antonyms,EASY,Bottle,Bucket
Flask,"A small container, often with a lid, used for carrying liquids.",spellings,EASY,Bottle,Bucket
Pelt,To hit or throw things at someone or something repeatedly.,general-vocabulary,MEDIUM,Bombard,Protect
Pelt,To hit or throw things at someone or something repeatedly.,synonyms,MEDIUM,Bombard,Protect
Pelt,To hit or throw things at someone or something repeatedly.,antonyms,MEDIUM,Bombard,Protect
Pelt,To hit or throw things at someone or something repeatedly.,spellings,MEDIUM,Bombard,Protect
Stride,"To walk with long, confident steps; a long step.",general-vocabulary,EASY,Pace,Crawl
Stride,"To walk with long, confident steps; a long step.",synonyms,EASY,Pace,Crawl
Stride,"To walk with long, confident steps; a long step.",antonyms,EASY,Pace,Crawl
Stride,"To walk with long, confident steps; a long step.",spellings,EASY,Pace,Crawl
Object,A thing that can be seen or touched; an item.,general-vocabulary,EASY,Item,Nothing
Object,A thing that can be seen or touched; an item.,synonyms,EASY,Item,Nothing
Object,A thing that can be seen or touched; an item.,antonyms,EASY,Item,Nothing
Object,A thing that can be seen or touched; an item.,spellings,EASY,Item,Nothing
Array,An organised group or arrangement of things; to arrange in order.,general-vocabulary,MEDIUM,Arrangement,Disarray
Array,An organised group or arrangement of things; to arrange in order.,synonyms,MEDIUM,Arrangement,Disarray
Array,An organised group or arrangement of things; to arrange in order.,antonyms,MEDIUM,Arrangement,Disarray
Array,An organised group or arrangement of things; to arrange in order.,spellings,MEDIUM,Arrangement,Disarray
Adverse,Harmful or likely to cause problems; unfavourable.,general-vocabulary,MEDIUM,Unfavourable,Favourable
Adverse,Harmful or likely to cause problems; unfavourable.,synonyms,MEDIUM,Unfavourable,Favourable
Adverse,Harmful or likely to cause problems; unfavourable.,antonyms,MEDIUM,Unfavourable,Favourable
Adverse,Harmful or likely to cause problems; unfavourable.,spellings,MEDIUM,Unfavourable,Favourable
Exonerate,To officially clear someone from blame or wrongdoing.,general-vocabulary,HARD,Acquit,Convict
Exonerate,To officially clear someone from blame or wrongdoing.,synonyms,HARD,Acquit,Convict
Exonerate,To officially clear someone from blame or wrongdoing.,antonyms,HARD,Acquit,Convict
Exonerate,To officially clear someone from blame or wrongdoing.,spellings,HARD,Acquit,Convict
Hasty,"Done too quickly, often without enough thought.",general-vocabulary,EASY,Hurried,Slow
Hasty,"Done too quickly, often without enough thought.",synonyms,EASY,Hurried,Slow
Hasty,"Done too quickly, often without enough thought.",antonyms,EASY,Hurried,Slow
Hasty,"Done too quickly, often without enough thought.",spellings,EASY,Hurried,Slow
Sour,"Having a sharp, acidic taste; unpleasant or bitter in mood.",general-vocabulary,EASY,Acidic,Sweet
Sour,"Having a sharp, acidic taste; unpleasant or bitter in mood.",synonyms,EASY,Acidic,Sweet
Sour,"Having a sharp, acidic taste; unpleasant or bitter in mood.",antonyms,EASY,Acidic,Sweet
Sour,"Having a sharp, acidic taste; unpleasant or bitter in mood.",spellings,EASY,Acidic,Sweet
Penalty,A punishment given for breaking a rule or law.,general-vocabulary,EASY,Punishment,Reward
Penalty,A punishment given for breaking a rule or law.,synonyms,EASY,Punishment,Reward
Penalty,A punishment given for breaking a rule or law.,antonyms,EASY,Punishment,Reward
Penalty,A punishment given for breaking a rule or law.,spellings,EASY,Punishment,Reward
Hapless,Having bad luck; unlucky.,general-vocabulary,MEDIUM,Unfortunate,Lucky
Hapless,Having bad luck; unlucky.,synonyms,MEDIUM,Unfortunate,Lucky
Hapless,Having bad luck; unlucky.,antonyms,MEDIUM,Unfortunate,Lucky
Hapless,Having bad luck; unlucky.,spellings,MEDIUM,Unfortunate,Lucky
Fluctuate,To change or go up and down irregularly.,general-vocabulary,MEDIUM,Vary,Stabilize
Fluctuate,To change or go up and down irregularly.,synonyms,MEDIUM,Vary,Stabilize
Fluctuate,To change or go up and down irregularly.,antonyms,MEDIUM,Vary,Stabilize
Fluctuate,To change or go up and down irregularly.,spellings,MEDIUM,Vary,Stabilize
Genial,Warm and pleasant in manner; cheerful and kind.,general-vocabulary,MEDIUM,Friendly,Hostile
Genial,Warm and pleasant in manner; cheerful and kind.,synonyms,MEDIUM,Friendly,Hostile
Genial,Warm and pleasant in manner; cheerful and kind.,antonyms,MEDIUM,Friendly,Hostile
Genial,Warm and pleasant in manner; cheerful and kind.,spellings,MEDIUM,Friendly,Hostile
Frivolous,Not having any serious purpose or value; silly or unimportant.,general-vocabulary,MEDIUM,Trivial,Serious
Frivolous,Not having any serious purpose or value; silly or unimportant.,synonyms,MEDIUM,Trivial,Serious
Frivolous,Not having any serious purpose or value; silly or unimportant.,antonyms,MEDIUM,Trivial,Serious
Frivolous,Not having any serious purpose or value; silly or unimportant.,spellings,MEDIUM,Trivial,Serious
Category,A group of people or things that share common characteristics.,general-vocabulary,EASY,Class,Individual
Category,A group of people or things that share common characteristics.,synonyms,EASY,Class,Individual
Category,A group of people or things that share common characteristics.,antonyms,EASY,Class,Individual
Category,A group of people or things that share common characteristics.,spellings,EASY,Class,Individual
Succeeding,Achieving success or coming after something in sequence.,general-vocabulary,EASY,Advancing,Failing
Succeeding,Achieving success or coming after something in sequence.,synonyms,EASY,Advancing,Failing
Succeeding,Achieving success or coming after something in sequence.,antonyms,EASY,Advancing,Failing
Succeeding,Achieving success or coming after something in sequence.,spellings,EASY,Advancing,Failing
Reserve,A quality of being restrained or distant in manner or speech.,general-vocabulary,MEDIUM,Detachment,Warmth
Reserve,A quality of being restrained or distant in manner or speech.,synonyms,MEDIUM,Detachment,Warmth
Reserve,A quality of being restrained or distant in manner or speech.,antonyms,MEDIUM,Detachment,Warmth
Reserve,A quality of being restrained or distant in manner or speech.,spellings,MEDIUM,Detachment,Warmth
Tepid,Slightly warm; showing little enthusiasm or interest.,general-vocabulary,MEDIUM,Lukewarm,Hot
Tepid,Slightly warm; showing little enthusiasm or interest.,synonyms,MEDIUM,Lukewarm,Hot
Tepid,Slightly warm; showing little enthusiasm or interest.,antonyms,MEDIUM,Lukewarm,Hot
Tepid,Slightly warm; showing little enthusiasm or interest.,spellings,MEDIUM,Lukewarm,Hot
Repudiate,To refuse to accept or be associated with something; to disown or deny.,general-vocabulary,HARD,Reject,Accept
Repudiate,To refuse to accept or be associated with something; to disown or deny.,synonyms,HARD,Reject,Accept
Repudiate,To refuse to accept or be associated with something; to disown or deny.,antonyms,HARD,Reject,Accept
Repudiate,To refuse to accept or be associated with something; to disown or deny.,spellings,HARD,Reject,Accept
Latent,Existing but not yet developed or visible; concealed potential or ability.,general-vocabulary,HARD,Hidden,Active
Latent,Existing but not yet developed or visible; concealed potential or ability.,synonyms,HARD,Hidden,Active
Latent,Existing but not yet developed or visible; concealed potential or ability.,antonyms,HARD,Hidden,Active
Latent,Existing but not yet developed or visible; concealed potential or ability.,spellings,HARD,Hidden,Active
Ardent,Having or showing strong feelings or enthusiasm for something.,general-vocabulary,MEDIUM,Passionate,Apathetic
Ardent,Having or showing strong feelings or enthusiasm for something.,synonyms,MEDIUM,Passionate,Apathetic
Ardent,Having or showing strong feelings or enthusiasm for something.,antonyms,MEDIUM,Passionate,Apathetic
Ardent,Having or showing strong feelings or enthusiasm for something.,spellings,MEDIUM,Passionate,Apathetic
Idea,"A thought, plan, or suggestion about what to do or how to do something.",general-vocabulary,EASY,Concept,Fact
Idea,"A thought, plan, or suggestion about what to do or how to do something.",synonyms,EASY,Concept,Fact
Idea,"A thought, plan, or suggestion about what to do or how to do something.",antonyms,EASY,Concept,Fact
Idea,"A thought, plan, or suggestion about what to do or how to do something.",spellings,EASY,Concept,Fact
Baulk,To stop something from happening; to refuse to proceed with.,general-vocabulary,MEDIUM,Hinder,Assist
Baulk,To stop something from happening; to refuse to proceed with.,synonyms,MEDIUM,Hinder,Assist
Baulk,To stop something from happening; to refuse to proceed with.,antonyms,MEDIUM,Hinder,Assist
Baulk,To stop something from happening; to refuse to proceed with.,spellings,MEDIUM,Hinder,Assist
Acknowledge,To accept or admit the truth or existence of something.,general-vocabulary,EASY,Admit,Deny
Acknowledge,To accept or admit the truth or existence of something.,synonyms,EASY,Admit,Deny
Acknowledge,To accept or admit the truth or existence of something.,antonyms,EASY,Admit,Deny
Acknowledge,To accept or admit the truth or existence of something.,spellings,EASY,Admit,Deny
Earnest,Showing sincere and intense conviction.,general-vocabulary,MEDIUM,Serious,Frivolous
Earnest,Showing sincere and intense conviction.,synonyms,MEDIUM,Serious,Frivolous
Earnest,Showing sincere and intense conviction.,antonyms,MEDIUM,Serious,Frivolous
Earnest,Showing sincere and intense conviction.,spellings,MEDIUM,Serious,Frivolous
Residence,A place where someone lives; a home.,general-vocabulary,EASY,Domicile,Workplace
Residence,A place where someone lives; a home.,synonyms,EASY,Domicile,Workplace
Residence,A place where someone lives; a home.,antonyms,EASY,Domicile,Workplace
Residence,A place where someone lives; a home.,spellings,EASY,Domicile,Workplace
Deplorable,Deserving strong condemnation; shockingly bad in quality.,general-vocabulary,MEDIUM,Disgraceful,Admirable
Deplorable,Deserving strong condemnation; shockingly bad in quality.,synonyms,MEDIUM,Disgraceful,Admirable
Deplorable,Deserving strong condemnation; shockingly bad in quality.,antonyms,MEDIUM,Disgraceful,Admirable
Deplorable,Deserving strong condemnation; shockingly bad in quality.,spellings,MEDIUM,Disgraceful,Admirable
Perish,To die or come to an end; to decay or rot.,general-vocabulary,EASY,Die,Survive
Perish,To die or come to an end; to decay or rot.,synonyms,EASY,Die,Survive
Perish,To die or come to an end; to decay or rot.,antonyms,EASY,Die,Survive
Perish,To die or come to an end; to decay or rot.,spellings,EASY,Die,Survive
Foe,An opponent or adversary; someone hostile.,general-vocabulary,EASY,Enemy,Friend
Foe,An opponent or adversary; someone hostile.,synonyms,EASY,Enemy,Friend
Foe,An opponent or adversary; someone hostile.,antonyms,EASY,Enemy,Friend
Foe,An opponent or adversary; someone hostile.,spellings,EASY,Enemy,Friend
Terrible,Extremely bad or serious.,general-vocabulary,EASY,Dreadful,Wonderful
Terrible,Extremely bad or serious.,synonyms,EASY,Dreadful,Wonderful
Terrible,Extremely bad or serious.,antonyms,EASY,Dreadful,Wonderful
Terrible,Extremely bad or serious.,spellings,EASY,Dreadful,Wonderful
Ecstatic,Feeling or expressing overwhelming happiness.,general-vocabulary,MEDIUM,Elated,Miserable
Ecstatic,Feeling or expressing overwhelming happiness.,synonyms,MEDIUM,Elated,Miserable
Ecstatic,Feeling or expressing overwhelming happiness.,antonyms,MEDIUM,Elated,Miserable
Ecstatic,Feeling or expressing overwhelming happiness.,spellings,MEDIUM,Elated,Miserable
Inestimable,Too great to be measured; invaluable.,general-vocabulary,HARD,Incalculable,Measurable
Inestimable,Too great to be measured; invaluable.,synonyms,HARD,Incalculable,Measurable
Inestimable,Too great to be measured; invaluable.,antonyms,HARD,Incalculable,Measurable
Inestimable,Too great to be measured; invaluable.,spellings,HARD,Incalculable,Measurable
Striking,Very noticeable or impressive; attracting attention.,general-vocabulary,EASY,Remarkable,Unremarkable
Striking,Very noticeable or impressive; attracting attention.,synonyms,EASY,Remarkable,Unremarkable
Striking,Very noticeable or impressive; attracting attention.,antonyms,EASY,Remarkable,Unremarkable
Striking,Very noticeable or impressive; attracting attention.,spellings,EASY,Remarkable,Unremarkable
Egotistic,Excessively self-centred or proud.,general-vocabulary,MEDIUM,Conceited,Humble
Egotistic,Excessively self-centred or proud.,synonyms,MEDIUM,Conceited,Humble
Egotistic,Excessively self-centred or proud.,antonyms,MEDIUM,Conceited,Humble
Egotistic,Excessively self-centred or proud.,spellings,MEDIUM,Conceited,Humble
Apprehensive,Anxious or fearful that something bad will happen.,general-vocabulary,MEDIUM,Anxious,Confident
Apprehensive,Anxious or fearful that something bad will happen.,synonyms,MEDIUM,Anxious,Confident
Apprehensive,Anxious or fearful that something bad will happen.,antonyms,MEDIUM,Anxious,Confident
Apprehensive,Anxious or fearful that something bad will happen.,spellings,MEDIUM,Anxious,Confident
Brusque,Markedly short and blunt in manner or speech.,general-vocabulary,HARD,Abrupt,Polite
Brusque,Markedly short and blunt in manner or speech.,synonyms,HARD,Abrupt,Polite
Brusque,Markedly short and blunt in manner or speech.,antonyms,HARD,Abrupt,Polite
Brusque,Markedly short and blunt in manner or speech.,spellings,HARD,Abrupt,Polite
Arid,Extremely dry; having little or no rainfall.,general-vocabulary,MEDIUM,Parched,Humid
Arid,Extremely dry; having little or no rainfall.,synonyms,MEDIUM,Parched,Humid
Arid,Extremely dry; having little or no rainfall.,antonyms,MEDIUM,Parched,Humid
Arid,Extremely dry; having little or no rainfall.,spellings,MEDIUM,Parched,Humid
Polarity,The presence or manifestation of two opposite or contrasting principles or tendencies.,general-vocabulary,HARD,Division,Unity
Polarity,The presence or manifestation of two opposite or contrasting principles or tendencies.,synonyms,HARD,Division,Unity
Polarity,The presence or manifestation of two opposite or contrasting principles or tendencies.,antonyms,HARD,Division,Unity
Polarity,The presence or manifestation of two opposite or contrasting principles or tendencies.,spellings,HARD,Division,Unity
Laugh,To make sounds and movements that express amusement or joy.,general-vocabulary,EASY,Giggle,Cry
Laugh,To make sounds and movements that express amusement or joy.,synonyms,EASY,Giggle,Cry
Laugh,To make sounds and movements that express amusement or joy.,antonyms,EASY,Giggle,Cry
Laugh,To make sounds and movements that express amusement or joy.,spellings,EASY,Giggle,Cry
Subdued,Quiet and rather reflective or depressed; softened in intensity.,general-vocabulary,MEDIUM,Muted,Boisterous
Subdued,Quiet and rather reflective or depressed; softened in intensity.,synonyms,MEDIUM,Muted,Boisterous
Subdued,Quiet and rather reflective or depressed; softened in intensity.,antonyms,MEDIUM,Muted,Boisterous
Subdued,Quiet and rather reflective or depressed; softened in intensity.,spellings,MEDIUM,Muted,Boisterous
Haggard,"Looking exhausted and unwell, especially from fatigue or worry.",general-vocabulary,HARD,Gaunt,Radiant
Haggard,"Looking exhausted and unwell, especially from fatigue or worry.",synonyms,HARD,Gaunt,Radiant
