Question,Answer,Explanation
"Although apprehensive [A] about the exam [B], she felt calmer [C] once she began writing [D]. No error [E]",E,All four underlined words are spelled correctly.
The affluent [A] suburb [B] was known [C] for its tree-lined avenues [D]. No error [E],E,All four underlined words are spelled correctly.
"He seemed strangely indifferent [A] to the news [B], barely glancing up [C] from his book [D]. No error [E]",E,All four underlined words are spelled correctly.
"A heavy bow [A] hung low over the path [B], laden with apples [C] ready to be picked [D]. No error [E]",A,'Bow' is spelled incorrectly here; the silent 'gh' has been dropped. The correct spelling is 'Bough' (a large tree branch).
"The old horse [A] began to bauk [B] at the narrow gate [C], refusing to move another step [D]. No error [E]",B,'Bauk' is missing the silent 'l'. The correct spelling is 'Baulk' (to hesitate or refuse).
"The waiter's reply [A] was polite enough [B], though his manager gave a brusk [C] answer that surprised the customers [D]. No error [E]",C,'Brusk' is missing the silent 'ue'. The correct spelling is 'Brusque' (blunt or curt in manner).
The mayor thanked [A] the volunteers [B] publicly [C] and promised to acknoledge [D] their efforts in the newsletter. No error [E],D,'Acknoledge' is missing the silent 'w'. The correct spelling is 'Acknowledge'.
Tak [A] alone [B] would not solve the problem [C]; the team needed to act quickly [D]. No error [E],A,'Tak' is missing the silent 'l'. The correct spelling is 'Talk'.
"After a long day [A], the tuff [B] negotiations [C] left everyone exhausted [D]. No error [E]",B,'Tuff' is spelled incorrectly; the word keeps the silent 'gh'. The correct spelling is 'Tough'.
Archaeologists carefully brushed away [A] centuries of dust [B] to reveal a sealed toom [C] deep beneath the temple floor [D]. No error [E],C,'Toom' is spelled incorrectly; the word keeps a silent 'b'. The correct spelling is 'Tomb'.
"Even in winter [A], the garden [B] looked surprisingly cheerful [C] and brite [D]. No error [E]",D,'Brite' is spelled incorrectly; the word keeps the silent 'gh'. The correct spelling is 'Bright'.
Midnite [A] came and went [B] before the last guest [C] finally left the party [D]. No error [E],A,'Midnite' is spelled incorrectly; the word keeps the silent 'gh'. The correct spelling is 'Midnight'.
"To everyone's surprise [A], the hole [B] cake disappeared [C] within minutes of the party starting [D]. No error [E]",B,'Hole' is a different word entirely; the silent 'w' has been dropped. The correct spelling is 'Whole' (meaning entire).
Engineers inspected the bridge [A] thoroughly [B] before deciding to condem [C] it as unsafe for traffic [D]. No error [E],C,'Condem' is missing the silent 'n'. The correct spelling is 'Condemn'.
"She slipped on the wet tiles [A] and landed hard [B] on the cold floor [C], badly bruising her nee [D]. No error [E]",D,'Nee' is missing the silent 'k'. The correct spelling is 'Knee'.
Rist [A] pain [B] kept the pianist [C] from practising for several weeks [D]. No error [E],A,'Rist' is missing the silent 'w'. The correct spelling is 'Wrist'.
"Everyone respected [A] her onest [B] opinion [C], even when it was unwelcome [D]. No error [E]",B,'Onest' is missing the silent 'h'. The correct spelling is 'Honest'.
"The meeting was scheduled [A] to last [B] just one our [C], but it dragged on for three [D]. No error [E]",C,'Our' is a different word entirely; the silent 'h' has been dropped. The correct spelling is 'Hour'.
"Despite the chaos [A] backstage [B], the lead actor [C] remained perfectly cam [D]. No error [E]",D,'Cam' is missing the silent 'l'. The correct spelling is 'Calm'.
Haf [A] of the class [B] had already finished [C] the test before the bell rang [D]. No error [E],A,'Haf' is missing the silent 'l'. The correct spelling is 'Half'.
Good doctors [A] always lisen [B] carefully [C] to their patients' concerns [D]. No error [E],B,'Lisen' is missing the silent 't'. The correct spelling is 'Listen'.
Tourists queued [A] for over an hour [B] to explore the ancient casle [C] perched above the river [D]. No error [E],C,'Casle' is missing the silent 't'. The correct spelling is 'Castle'.
Years of rowing [A] had given her [B] noticeable arm [C] musle [D]. No error [E],D,'Musle' is missing the silent 'c'. The correct spelling is 'Muscle'.
Sissors [A] and glue [B] were handed out [C] before the art lesson began [D]. No error [E],A,'Sissors' is missing the silent 'c'. The correct spelling is 'Scissors'.
"Each year [A], every autum [B], the same golden leaves [C] cover the playground completely [D]. No error [E]",B,'Autum' is missing the silent 'n'. The correct spelling is 'Autumn'.
The ancient temple [A] was supported [B] by a single marble colum [C] still standing today [D]. No error [E],C,'Colum' is missing the silent 'n'. The correct spelling is 'Column'.
The whole congregation [A] fell silent [B] during the deeply moving [C] solem [D] ceremony. No error [E],D,'Solem' is missing the silent 'n'. The correct spelling is 'Solemn'.
Rein [A] of the young queen [B] brought decades [C] of peace and prosperity [D]. No error [E],A,'Rein' is a different word entirely; the silent 'g' has been dropped. The correct spelling is 'Reign' (a period of rule).
Visitors are often amazed [A] by the hight [B] of the waterfall [C] as it thunders into the gorge [D]. No error [E],B,'Hight' is spelled incorrectly; it keeps the silent letters in 'eigh'. The correct spelling is 'Height'.
The captain steered [A] the ship carefully [B] along a strait [C] course towards the harbour [D]. No error [E],C,'Strait' is a different word (meaning a narrow sea passage); the silent 'gh' has been dropped. The correct spelling here is 'Straight' (meaning direct).
"Rain was forecast [A] for the entire afternoon [B], but the tournament [C] carried on anyway, tho [D]. No error [E]",D,'Tho' is missing the silent 'ugh'. The correct spelling is 'Though'.
"Thru [A] the thick fog [B], the lighthouse beam [C] barely reached the harbour wall [D]. No error [E]",A,'Thru' is missing the silent 'gh'. The correct spelling is 'Through'.
Firefighters conducted [A] a thurow [B] search [C] of every room before declaring the building safe [D]. No error [E],B,'Thurow' is spelled incorrectly; it keeps the silent 'gh' in the middle. The correct spelling is 'Thorough'.
The wealthy family [A] kept a private yacht [B] moored [C] in the harbour all summer [D]. No error [E],E,All four underlined words are spelled correctly.
The drummer struggled [A] to keep a steady rhythm [B] during the final verse [C] of the song [D]. No error [E],E,All four underlined words are spelled correctly.
Visitors were asked [A] to sign [B] the guestbook [C] before leaving the museum [D]. No error [E],E,All four underlined words are spelled correctly.
She began to wrap [A] the presents [B] carefully [C] in colourful paper [D]. No error [E],E,All four underlined words are spelled correctly.
Nobody had any doubt [A] that the young violinist [B] would win [C] the regional competition [D]. No error [E],E,All four underlined words are spelled correctly.
The family had cleared [A] every debt [B] before finally buying [C] their first home [D]. No error [E],E,All four underlined words are spelled correctly.
A small island [A] appeared [B] on the horizon [C] just as the fog began to lift [D]. No error [E],E,All four underlined words are spelled correctly.
The two brothers [A] began to wrestle [B] playfully [C] on the living room floor [D]. No error [E],E,All four underlined words are spelled correctly.
Deplorible [A] behaviour [B] from a handful of fans [C] overshadowed [D] an otherwise excellent match. No error [E],A,"'Deplorible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Deplorable'."
Referees made [A] several questionible [B] decisions [C] during the final ten minutes [D]. No error [E],B,"'Questionible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Questionable'."
Grandparents provide [A] children with [B] inestimible [C] wisdom [D] gathered over many years. No error [E],C,"'Inestimible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Inestimable'."
The witness gave [A] an account [B] so strange [C] that the jury found it entirely implausable [D]. No error [E],D,"'Implausable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Implausible'."
Plausable [A] explanations [B] were offered [C] by every suspect questioned [D]. No error [E],A,"'Plausable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Plausible'."
Charities work hard [A] to protect vulnerible [B] families [C] during the winter months [D]. No error [E],B,"'Vulnerible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Vulnerable'."
Engineers declared [A] the old footbridge [B] dangerously unstible [C] after the recent floods [D]. No error [E],C,"'Unstible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Unstable'."
"Given the icy roads [A], a delay [B] to the school bus [C] was almost inevitible [D]. No error [E]",D,"'Inevitible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Inevitable'."
"Indefatigible [A] as ever [B], the marathon runner [C] refused to slow down [D]. No error [E]",A,"'Indefatigible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Indefatigable'."
Judges praised [A] the gymnast's impeccible [B] technique [C] throughout the entire routine [D]. No error [E],B,"'Impeccible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Impeccable'."
"Within a week [A] of training [B], a noticable [C] improvement [D] appeared in her stroke. No error [E]",C,"'Noticable' is missing the silent 'e', which must stay before '-able' to keep the soft 'c' sound. The correct spelling is 'Noticeable'."
The head teacher explained [A] clearly [B] what behaviour [C] was and was not acceptible [D]. No error [E],D,"'Acceptible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Acceptable'."
"Regrettible [A] as it was [B], the trip [C] had to be cancelled at the last minute [D]. No error [E]",A,"'Regrettible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Regrettable'."
The renovation caused [A] considerible [B] disruption [C] to the neighbouring shops [D]. No error [E],B,"'Considerible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Considerable'."
Parents were asked [A] to bring [B] suitible [C] clothing [D] for the muddy nature walk. No error [E],C,"'Suitible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Suitable'."
"The rescue centre's newest arrivals [A], two spaniel puppies [B], proved instantly popular [C] for being so adorible [D]. No error [E]",D,"'Adorible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Adorable'."
Comfortible [A] seating [B] was arranged [C] for the elderly guests at the front [D]. No error [E],A,"'Comfortible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Comfortable'."
Mechanics confirmed [A] that the old engine [B] was still remarkably relyable [C] after all these years [D]. No error [E],C,'Relyable' is spelled incorrectly; the final 'y' changes to 'i' before adding '-able'. The correct spelling is 'Reliable'.
Every pupil [A] on the trip [B] was reminded [C] to act responsable [D]. No error [E],D,"'Responsable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Responsible'."
Possable [A] solutions [B] were discussed [C] at length during the meeting [D]. No error [E],A,"'Possable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Possible'."
Some critics claimed [A] the daring stunt [B] was simply impossable [C] to perform safely [D]. No error [E],C,"'Impossable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Impossible'."
"For such cold weather [A], the coach [B] gave the players [C] some sensable [D] advice. No error [E]",D,"'Sensable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Sensible'."
"Visable [A] from miles away [B], the lighthouse [C] guided ships safely into port [D]. No error [E]",A,"'Visable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Visible'."
Sailors described [A] a horrable [B] storm [C] that battered the coastline for days [D]. No error [E],B,"'Horrable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Horrible'."
The landlord offered [A] tenants [B] a reasonible [C] compromise [D] over the rent increase. No error [E],C,"'Reasonible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Reasonable'."
"Museum staff handled [A] each artefact [B] carefully [C], aware of how valueable [D] it truly was. No error [E]",D,'Valueable' is spelled incorrectly; the silent 'e' in 'value' is dropped before adding '-able'. The correct spelling is 'Valuable'.
Availible [A] seats [B] were limited [C] to the first two hundred visitors [D]. No error [E],A,"'Availible' is spelled incorrectly; the word ends in '-able', not '-ible'. The correct spelling is 'Available'."
Software engineers checked [A] whether the update [B] was compatable [C] with older laptops [D]. No error [E],C,"'Compatable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Compatible'."
Exam markers reminded [A] students [B] to keep their handwriting [C] neat and legable [D]. No error [E],D,"'Legable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Legible'."
Incredable [A] scenes [B] unfolded [C] as the underdog team lifted the trophy [D]. No error [E],A,"'Incredable' is spelled incorrectly; the word ends in '-ible', not '-able'. The correct spelling is 'Incredible'."
Gymnasts require [A] a flexible [B] spine [C] to perform such difficult routines [D]. No error [E],E,All four underlined words are spelled correctly.
Foragers were warned [A] that not every berry [B] in the forest [C] was edible [D]. No error [E],E,All four underlined words are spelled correctly.
The salesman seemed [A] a little too gullible [B] to spot [C] such an obvious trick [D]. No error [E],E,All four underlined words are spelled correctly.
Nutritionists recommend [A] cooking lentils [B] until they are soft and digestible [C] for young children [D]. No error [E],E,All four underlined words are spelled correctly.
The couple drove [A] along the coast [B] in a bright red convertible [C] on their anniversary [D]. No error [E],E,All four underlined words are spelled correctly.
Even her fiercest rivals [A] admitted [B] that her discipline [C] was admirable [D]. No error [E],E,All four underlined words are spelled correctly.
The two design proposals [A] were roughly comparable [B] in cost [C] and quality [D]. No error [E],E,All four underlined words are spelled correctly.
Recieve [A] confirmation [B] of your order [C] within twenty-four hours [D]. No error [E],A,'Recieve' breaks the 'i before e except after c' rule; after 'c' the order should be 'ei'. The correct spelling is 'Receive'.
"Over many years [A], the museum managed to aquire [B] several rare fossils [C] from private collectors [D]. No error [E]",B,'Aquire' is missing the silent 'c' before 'q'. The correct spelling is 'Acquire'.
Investigators concluded [A] that careless staff [B] were responsible for the security breech [C] at the data centre [D]. No error [E],C,"'Breech' is a different word (relating to the back part of a gun, or a birth position); the intended word uses 'ea'. The correct spelling is 'Breach' (a gap or violation)."
"After the retirement of her business partner [A], she finally became [B] the company's soul [C] owner of the small bakery [D]. No error [E]",C,'Soul' is a different word entirely (meaning spirit); the intended word is spelled with an 'e'. The correct spelling is 'Sole' (meaning only or single).
Convienient [A] parking [B] was provided [C] right outside the stadium entrance [D]. No error [E],A,"'Convienient' breaks the usual vowel order; the correct middle section is spelled 'enie', not 'ieni'. The correct spelling is 'Convenient'."
"Despite the cold weather [A], the hosts created [B] a warm and congeniel [C] atmosphere [D] for their guests. No error [E]",C,"'Congeniel' is spelled incorrectly at the end; the correct ending is '-ial', not '-iel'. The correct spelling is 'Congenial'."
The dentist warned [A] that the procedure [B] might cause a brief [C] but excruciateing [D] pain. No error [E],D,'Excruciateing' wrongly keeps the silent 'e' before the suffix '-ing'; it should be dropped. The correct spelling is 'Excruciating'.
Strang [A] noises [B] echoed [C] through the empty corridor at night [D]. No error [E],A,'Strang' is missing the final silent 'e'. The correct spelling is 'Strange'.
Guests admired [A] the exquisit [B] detail [C] on every piece of the antique china [D]. No error [E],B,'Exquisit' is missing the final silent 'e'. The correct spelling is 'Exquisite'.
"After the difficult news [A], she found [B] some solice [C] in the company of close friends [D]. No error [E]",C,"'Solice' has the vowels reversed; the middle section should be spelled 'ace', not 'ice'. The correct spelling is 'Solace'."
"The main road [A] was closed [B] for repairs [C], so traffic used the peripherial [D] streets instead. No error [E]",D,'Peripherial' adds an extra 'i' that does not belong. The correct spelling is 'Peripheral'.
Melancoly [A] music [B] drifted [C] from the old gramophone in the attic [D]. No error [E],A,'Melancoly' drops a letter from the 'ch' sound in the middle of the word. The correct spelling is 'Melancholy'.
"Lifeguards must stay [A] vigilent [B] at all times [C], even when the beach is quiet [D]. No error [E]",B,'Vigilent' incorrectly ends in '-ent'; the correct ending is '-ant'. The correct spelling is 'Vigilant'.
Teachers rarely tolerate [A] pupils [B] who behave in an insolant [C] manner towards visitors [D]. No error [E],C,'Insolant' incorrectly ends in '-ant'; the correct ending is '-ent'. The correct spelling is 'Insolent'.
New regulations [A] placed [B] an onorous [C] burden [D] on small businesses. No error [E],C,"'Onorous' has the vowels reversed; the correct middle section is spelled 'ero', not 'oro'. The correct spelling is 'Onerous'."
Subdude [A] lighting [B] created [C] a calm atmosphere throughout the restaurant [D]. No error [E],A,"'Subdude' is spelled incorrectly at the end; it should be '-ued', not '-ude'. The correct spelling is 'Subdued'."
Judges placed [A] every painting [B] into the correct catagory [C] before scoring began [D]. No error [E],C,'Catagory' incorrectly uses 'a' in the second syllable; the correct vowel is 'e'. The correct spelling is 'Category'.
Some shoppers [A] consider [B] designer labels [C] a rather frivilous [D] expense. No error [E],D,'Frivilous' incorrectly uses 'i' in the middle syllable; the correct vowel is 'o'. The correct spelling is 'Frivolous'.
New evidence [A] was enough [B] to exonorate [C] the accused man completely [D]. No error [E],C,"'Exonorate' has the vowels reversed; the correct middle section is spelled 'era', not 'ora'. The correct spelling is 'Exonerate'."
"After the warning [A], the ernest [B] apprentice [C] worked twice as hard [D]. No error [E]",B,"'Ernest' is missing the first vowel; the correct spelling begins 'Ear-', not 'Er-'. The correct spelling is 'Earnest' (meaning sincere and serious)."
Reporters gathered [A] outside [B] the ambassador's official residance [C] all morning [D]. No error [E],C,'Residance' incorrectly ends in '-ance'; the correct ending is '-ence'. The correct spelling is 'Residence'.
"By Friday [A], the school [B] needed [C] a definate [D] answer from every parent. No error [E]",D,'Definate' incorrectly ends in '-ate'; the correct ending is '-ite'. The correct spelling is 'Definite'.
Seperate [A] queues [B] were formed [C] for staff and visitors at the entrance [D]. No error [E],A,'Seperate' incorrectly uses 'e' in the second syllable; the correct vowel is 'a'. The correct spelling is 'Separate'.
"Since leaving home [A], she felt [B] far more independant [C] than she had expected [D]. No error [E]",C,'Independant' incorrectly ends in '-ant'; the correct ending is '-ent'. The correct spelling is 'Independent'.
Few people [A] knew [B] about the shop's [C] continued existance [D]. No error [E],D,'Existance' incorrectly ends in '-ance'; the correct ending is '-ence'. The correct spelling is 'Existence'.
Buisness [A] had never been [B] better [C] for the small family bakery [D]. No error [E],A,'Buisness' has the middle vowels in the wrong order. The correct spelling is 'Business'.
Charities work hard [A] every year [B] to protect the local enviroment [C] from pollution [D]. No error [E],C,'Enviroment' is missing the silent 'n' before 'ment'. The correct spelling is 'Environment'.
Grandma only [A] wore [B] her pearl necklace [C] on a special occassion [D]. No error [E],D,'Occassion' has an extra 's'; the word needs only a single 's' before the '-sion' ending. The correct spelling is 'Occasion'.
"Beleive [A] it or not [B], the whole journey [C] took under two hours [D]. No error [E]",A,'Beleive' breaks the 'i before e except after c' rule. The correct spelling is 'Believe'.
"With enough practice [A], anyone can acheive [B] real fluency [C] in a new language [D]. No error [E]",B,'Acheive' breaks the 'i before e except after c' rule. The correct spelling is 'Achieve'.
It felt weird [A] to walk [B] through the empty school [C] during the holidays [D]. No error [E],E,All four underlined words are spelled correctly. 'Weird' is a well-known exception to the usual 'i before e' rule.
Exchange students [A] often struggle [B] to understand foreign [C] customs at first [D]. No error [E],E,All four underlined words are spelled correctly.
Our elderly neighbour [A] always waves [B] cheerfully [C] from her front garden [D]. No error [E],E,All four underlined words are spelled correctly.
The con artist tried [A] to deceive [B] investors [C] with false promises [D]. No error [E],E,All four underlined words are spelled correctly.
Dogs can perceive [A] sounds [B] far beyond [C] the range of human hearing [D]. No error [E],E,All four underlined words are spelled correctly.
A long crack [A] appeared [B] in the ceiling [C] above the kitchen table [D]. No error [E],E,All four underlined words are spelled correctly.
Only one piece [A] of the jigsaw [B] was missing [C] when they finished [D]. No error [E],E,All four underlined words are spelled correctly.
