Word,Definition,Topic,Difficulty,Synonym,Antonym
Opening,A space or hole that allows passage or access.,antonyms,EASY,Gap,Closing
Belligerent,Aggressive and ready to argue or fight.,general-vocabulary,HARD,Hostile,Peaceful
Belligerent,Aggressive and ready to argue or fight.,synonyms,HARD,Hostile,Peaceful
Belligerent,Aggressive and ready to argue or fight.,antonyms,HARD,Hostile,Peaceful
Aggressive,Ready to attack or confront; behaving in a pushy way.,general-vocabulary,MEDIUM,Forceful,Submissive
Aggressive,Ready to attack or confront; behaving in a pushy way.,synonyms,MEDIUM,Forceful,Submissive
Aggressive,Ready to attack or confront; behaving in a pushy way.,antonyms,MEDIUM,Forceful,Submissive
Flouted,Openly disobeyed a rule or showed disrespect for it.,general-vocabulary,HARD,Defied,Obeyed
Flouted,Openly disobeyed a rule or showed disrespect for it.,synonyms,HARD,Defied,Obeyed
Flouted,Openly disobeyed a rule or showed disrespect for it.,antonyms,HARD,Defied,Obeyed
Mocked,Made fun of someone or something in an unkind way.,general-vocabulary,EASY,Ridiculed,Praised
Mocked,Made fun of someone or something in an unkind way.,synonyms,EASY,Ridiculed,Praised
Mocked,Made fun of someone or something in an unkind way.,antonyms,EASY,Ridiculed,Praised
Diverse,Showing a great deal of variety; made up of different types.,general-vocabulary,MEDIUM,Varied,Similar
Diverse,Showing a great deal of variety; made up of different types.,synonyms,MEDIUM,Varied,Similar
Diverse,Showing a great deal of variety; made up of different types.,antonyms,MEDIUM,Varied,Similar
Rancid,"Having an unpleasant smell or taste, often because it is old or spoiled.",general-vocabulary,HARD,Sour,Fresh
Rancid,"Having an unpleasant smell or taste, often because it is old or spoiled.",synonyms,HARD,Sour,Fresh
Rancid,"Having an unpleasant smell or taste, often because it is old or spoiled.",antonyms,HARD,Sour,Fresh
Rotten,Bad or spoiled because of decay; no longer fresh.,general-vocabulary,EASY,Decayed,Fresh
Rotten,Bad or spoiled because of decay; no longer fresh.,synonyms,EASY,Decayed,Fresh
Rotten,Bad or spoiled because of decay; no longer fresh.,antonyms,EASY,Decayed,Fresh
Hesitation,A moment of stopping or delaying because you are unsure what to do.,general-vocabulary,EASY,Pause,Certainty
Hesitation,A moment of stopping or delaying because you are unsure what to do.,synonyms,EASY,Pause,Certainty
Hesitation,A moment of stopping or delaying because you are unsure what to do.,antonyms,EASY,Pause,Certainty
Trembling,"Shaking slightly, often from fear, cold, or nervousness.",general-vocabulary,EASY,Shaking,Steady
Trembling,"Shaking slightly, often from fear, cold, or nervousness.",synonyms,EASY,Shaking,Steady
Trembling,"Shaking slightly, often from fear, cold, or nervousness.",antonyms,EASY,Shaking,Steady
Tweak,To make a small change to improve something.,general-vocabulary,MEDIUM,Adjust,Damage
Tweak,To make a small change to improve something.,synonyms,MEDIUM,Adjust,Damage
Tweak,To make a small change to improve something.,antonyms,MEDIUM,Adjust,Damage
Adjust,To change something slightly so it works better or fits properly.,general-vocabulary,EASY,Alter,Disarrange
Adjust,To change something slightly so it works better or fits properly.,synonyms,EASY,Alter,Disarrange
Adjust,To change something slightly so it works better or fits properly.,antonyms,EASY,Alter,Disarrange
Intervene,To become involved in a situation to change or stop it.,general-vocabulary,HARD,Step in,Ignore
Intervene,To become involved in a situation to change or stop it.,synonyms,HARD,Step in,Ignore
Intervene,To become involved in a situation to change or stop it.,antonyms,HARD,Step in,Ignore
Mediate,To help people in a disagreement reach an agreement.,general-vocabulary,HARD,Negotiate,Incite
Mediate,To help people in a disagreement reach an agreement.,synonyms,HARD,Negotiate,Incite
Mediate,To help people in a disagreement reach an agreement.,antonyms,HARD,Negotiate,Incite
Crude,"Lacking refinement, tact, or good manners; rough or unpolished in behaviour.",general-vocabulary,MEDIUM,Ill-mannered,Refined
Crude,"Lacking refinement, tact, or good manners; rough or unpolished in behaviour.",synonyms,MEDIUM,Ill-mannered,Refined
Crude,"Lacking refinement, tact, or good manners; rough or unpolished in behaviour.",antonyms,MEDIUM,Ill-mannered,Refined
Green,A type of aquatic plant or algae; also refers to the colour of growing plants.,general-vocabulary,EASY,Seaweed,Withered
Green,A type of aquatic plant or algae; also refers to the colour of growing plants.,synonyms,EASY,Seaweed,Withered
Green,A type of aquatic plant or algae; also refers to the colour of growing plants.,antonyms,EASY,Seaweed,Withered
Nobility,"A class of people with high social or political status, often hereditary.",general-vocabulary,MEDIUM,Aristocracy,Commoners
Nobility,"A class of people with high social or political status, often hereditary.",synonyms,MEDIUM,Aristocracy,Commoners
Nobility,"A class of people with high social or political status, often hereditary.",antonyms,MEDIUM,Aristocracy,Commoners
Punctual,"Arriving, doing something, or happening at the expected or correct time.",general-vocabulary,EASY,Prompt,Late
Punctual,"Arriving, doing something, or happening at the expected or correct time.",synonyms,EASY,Prompt,Late
Punctual,"Arriving, doing something, or happening at the expected or correct time.",antonyms,EASY,Prompt,Late
Chastise,To criticize or punish someone severely for misbehaviour or mistakes.,general-vocabulary,HARD,Scold,Praise
Chastise,To criticize or punish someone severely for misbehaviour or mistakes.,synonyms,HARD,Scold,Praise
Chastise,To criticize or punish someone severely for misbehaviour or mistakes.,antonyms,HARD,Scold,Praise
Banish,To send someone away from a country or place as a punishment.,general-vocabulary,MEDIUM,Deport,Welcome
Banish,To send someone away from a country or place as a punishment.,synonyms,MEDIUM,Deport,Welcome
Banish,To send someone away from a country or place as a punishment.,antonyms,MEDIUM,Deport,Welcome
Bendy,Easily bent or shaped; not stiff or rigid.,general-vocabulary,EASY,Flexible,Stiff
Bendy,Easily bent or shaped; not stiff or rigid.,synonyms,EASY,Flexible,Stiff
Bendy,Easily bent or shaped; not stiff or rigid.,antonyms,EASY,Flexible,Stiff
Pioneer,"A person who is among the first to explore, develop, or start something new.",general-vocabulary,MEDIUM,Do first,Follower
Pioneer,"A person who is among the first to explore, develop, or start something new.",synonyms,MEDIUM,Do first,Follower
Pioneer,"A person who is among the first to explore, develop, or start something new.",antonyms,MEDIUM,Do first,Follower
Magical,Having special powers or qualities that seem supernatural or fascinating.,general-vocabulary,EASY,Enchanting,Ordinary
Magical,Having special powers or qualities that seem supernatural or fascinating.,synonyms,EASY,Enchanting,Ordinary
Magical,Having special powers or qualities that seem supernatural or fascinating.,antonyms,EASY,Enchanting,Ordinary
Wither,"To become dry, shrivelled, or weak; to lose vitality or freshness.",general-vocabulary,HARD,Droop,Flourish
Wither,"To become dry, shrivelled, or weak; to lose vitality or freshness.",synonyms,HARD,Droop,Flourish
Wither,"To become dry, shrivelled, or weak; to lose vitality or freshness.",antonyms,HARD,Droop,Flourish
Dilapidated,Falling apart or in a state of disrepair; neglected and decaying.,general-vocabulary,HARD,Ramshackle,Well-maintained
Dilapidated,Falling apart or in a state of disrepair; neglected and decaying.,synonyms,HARD,Ramshackle,Well-maintained
Dilapidated,Falling apart or in a state of disrepair; neglected and decaying.,antonyms,HARD,Ramshackle,Well-maintained
Wavering,Showing indecision or doubt; moving unsteadily back and forth.,general-vocabulary,MEDIUM,Hesitant,Steadfast
Wavering,Showing indecision or doubt; moving unsteadily back and forth.,synonyms,MEDIUM,Hesitant,Steadfast
Wavering,Showing indecision or doubt; moving unsteadily back and forth.,antonyms,MEDIUM,Hesitant,Steadfast
Elude,"To evade or escape from something, often skillfully or cleverly.",general-vocabulary,HARD,Avoid,Confront
Elude,"To evade or escape from something, often skillfully or cleverly.",synonyms,HARD,Avoid,Confront
Elude,"To evade or escape from something, often skillfully or cleverly.",antonyms,HARD,Avoid,Confront
Distort,"To change the shape, sound, or appearance of something so that it is no longer true or accurate.",general-vocabulary,MEDIUM,Deform,Represent accurately
Distort,"To change the shape, sound, or appearance of something so that it is no longer true or accurate.",synonyms,MEDIUM,Deform,Represent accurately
Distort,"To change the shape, sound, or appearance of something so that it is no longer true or accurate.",antonyms,MEDIUM,Deform,Represent accurately
Accept,To consent to receive or undertake something offered; to tolerate or endure.,general-vocabulary,EASY,Abide,Reject
Accept,To consent to receive or undertake something offered; to tolerate or endure.,synonyms,EASY,Abide,Reject
Accept,To consent to receive or undertake something offered; to tolerate or endure.,antonyms,EASY,Abide,Reject
Cold,Having a low temperature; lacking warmth or affection.,general-vocabulary,EASY,Freezing,Warm
Cold,Having a low temperature; lacking warmth or affection.,synonyms,EASY,Freezing,Warm
Cold,Having a low temperature; lacking warmth or affection.,antonyms,EASY,Freezing,Warm
Compliance,"The act of agreeing with or following rules, requests, or commands.",general-vocabulary,HARD,Consent,Defiance
Compliance,"The act of agreeing with or following rules, requests, or commands.",synonyms,HARD,Consent,Defiance
Compliance,"The act of agreeing with or following rules, requests, or commands.",antonyms,HARD,Consent,Defiance
Run,To move swiftly on foot or to hurry in action or operation.,general-vocabulary,EASY,Rush,Walk
Run,To move swiftly on foot or to hurry in action or operation.,synonyms,EASY,Rush,Walk
Run,To move swiftly on foot or to hurry in action or operation.,antonyms,EASY,Rush,Walk
Barmy,"Foolish, eccentric, or slightly insane.",general-vocabulary,HARD,Mad,Sane
Barmy,"Foolish, eccentric, or slightly insane.",synonyms,HARD,Mad,Sane
Barmy,"Foolish, eccentric, or slightly insane.",antonyms,HARD,Mad,Sane
Radiant,Shining brightly; showing happiness or health.,general-vocabulary,MEDIUM,Joyful,Dull
Radiant,Shining brightly; showing happiness or health.,synonyms,MEDIUM,Joyful,Dull
Radiant,Shining brightly; showing happiness or health.,antonyms,MEDIUM,Joyful,Dull
Novel,New and unusual; not like anything seen before.,general-vocabulary,MEDIUM,Original,Familiar
Novel,New and unusual; not like anything seen before.,synonyms,MEDIUM,Original,Familiar
Novel,New and unusual; not like anything seen before.,antonyms,MEDIUM,Original,Familiar
Common,Found often or shared by many; not unusual.,general-vocabulary,EASY,Ordinary,Rare
Common,Found often or shared by many; not unusual.,synonyms,EASY,Ordinary,Rare
Common,Found often or shared by many; not unusual.,antonyms,EASY,Ordinary,Rare
Perished,"Died or was destroyed, especially in a sudden or tragic way.",general-vocabulary,MEDIUM,Died,Survived
Perished,"Died or was destroyed, especially in a sudden or tragic way.",synonyms,MEDIUM,Died,Survived
Perished,"Died or was destroyed, especially in a sudden or tragic way.",antonyms,MEDIUM,Died,Survived
Began,Started something or caused something to start.,general-vocabulary,EASY,Started,Ended
Began,Started something or caused something to start.,synonyms,EASY,Started,Ended
Began,Started something or caused something to start.,antonyms,EASY,Started,Ended
Whole,All of something; not divided or broken.,general-vocabulary,EASY,Complete,Partial
Whole,All of something; not divided or broken.,synonyms,EASY,Complete,Partial
Whole,All of something; not divided or broken.,antonyms,EASY,Complete,Partial
Partial,Not complete; only part of something.,general-vocabulary,EASY,Incomplete,Whole
Partial,Not complete; only part of something.,synonyms,EASY,Incomplete,Whole
Partial,Not complete; only part of something.,antonyms,EASY,Incomplete,Whole
Onerous,Difficult to do and needing a lot of effort.,general-vocabulary,HARD,Burdensome,Easy
Onerous,Difficult to do and needing a lot of effort.,synonyms,HARD,Burdensome,Easy
Onerous,Difficult to do and needing a lot of effort.,antonyms,HARD,Burdensome,Easy
Easy,Not difficult; done without much effort.,general-vocabulary,EASY,Simple,Difficult
Easy,Not difficult; done without much effort.,synonyms,EASY,Simple,Difficult
Easy,Not difficult; done without much effort.,antonyms,EASY,Simple,Difficult
Midnight,The middle of the night; 12:00 a.m.,general-vocabulary,EASY,Twelve o'clock,Noon
Midnight,The middle of the night; 12:00 a.m.,synonyms,EASY,Twelve o'clock,Noon
Midnight,The middle of the night; 12:00 a.m.,antonyms,EASY,Twelve o'clock,Noon
Noon,The middle of the day; 12:00 p.m.,general-vocabulary,EASY,Midday,Midnight
Noon,The middle of the day; 12:00 p.m.,synonyms,EASY,Midday,Midnight
Noon,The middle of the day; 12:00 p.m.,antonyms,EASY,Midday,Midnight
Advance,"To move forwards or make progress, especially towards a goal.",general-vocabulary,EASY,Progress,Retreat
Advance,"To move forwards or make progress, especially towards a goal.",synonyms,EASY,Progress,Retreat
Advance,"To move forwards or make progress, especially towards a goal.",antonyms,EASY,Progress,Retreat
Cease,To stop happening or to bring something to an end.,general-vocabulary,MEDIUM,Stop,Begin
Cease,To stop happening or to bring something to an end.,synonyms,MEDIUM,Stop,Begin
Cease,To stop happening or to bring something to an end.,antonyms,MEDIUM,Stop,Begin
Vigilant,Carefully watching for possible danger or difficulties.,general-vocabulary,HARD,Watchful,Inattentive
Vigilant,Carefully watching for possible danger or difficulties.,synonyms,HARD,Watchful,Inattentive
Vigilant,Carefully watching for possible danger or difficulties.,antonyms,HARD,Watchful,Inattentive
Distracted,Unable to concentrate because your attention is drawn elsewhere.,general-vocabulary,EASY,Unfocused,Focused
Distracted,Unable to concentrate because your attention is drawn elsewhere.,synonyms,EASY,Unfocused,Focused
Distracted,Unable to concentrate because your attention is drawn elsewhere.,antonyms,EASY,Unfocused,Focused
After,Happening later in time; coming behind something else.,general-vocabulary,EASY,Later,Before
After,Happening later in time; coming behind something else.,synonyms,EASY,Later,Before
After,Happening later in time; coming behind something else.,antonyms,EASY,Later,Before
Preceding,"Coming before something else in time, place, or order.",general-vocabulary,HARD,Previous,Following
Preceding,"Coming before something else in time, place, or order.",synonyms,HARD,Previous,Following
Preceding,"Coming before something else in time, place, or order.",antonyms,HARD,Previous,Following
Melancholy,"A deep, thoughtful sadness that lasts for a while.",general-vocabulary,HARD,Sadness,Happiness
Melancholy,"A deep, thoughtful sadness that lasts for a while.",synonyms,HARD,Sadness,Happiness
Melancholy,"A deep, thoughtful sadness that lasts for a while.",antonyms,HARD,Sadness,Happiness
Bright,"Full of light or showing a happy, lively mood.",general-vocabulary,EASY,Cheerful,Dull
Bright,"Full of light or showing a happy, lively mood.",synonyms,EASY,Cheerful,Dull
Bright,"Full of light or showing a happy, lively mood.",antonyms,EASY,Cheerful,Dull
Modest,Not boastful; not showing off about your abilities or possessions.,general-vocabulary,MEDIUM,Humble,Boastful
Modest,Not boastful; not showing off about your abilities or possessions.,synonyms,MEDIUM,Humble,Boastful
Modest,Not boastful; not showing off about your abilities or possessions.,antonyms,MEDIUM,Humble,Boastful
Peripheral,Relating to or situated on the edge of something; of secondary importance.,general-vocabulary,HARD,Marginal,Central
Peripheral,Relating to or situated on the edge of something; of secondary importance.,synonyms,HARD,Marginal,Central
Peripheral,Relating to or situated on the edge of something; of secondary importance.,antonyms,HARD,Marginal,Central
Toiled,"Worked extremely hard or continuously, often at something physically or mentally demanding.",general-vocabulary,HARD,Slaved,Rested
Toiled,"Worked extremely hard or continuously, often at something physically or mentally demanding.",synonyms,HARD,Slaved,Rested
Toiled,"Worked extremely hard or continuously, often at something physically or mentally demanding.",antonyms,HARD,Slaved,Rested
Watertight,Preventing water from entering; also used for arguments that are impossible to disprove.,general-vocabulary,MEDIUM,Impenetrable,Leaky
Watertight,Preventing water from entering; also used for arguments that are impossible to disprove.,synonyms,MEDIUM,Impenetrable,Leaky
Watertight,Preventing water from entering; also used for arguments that are impossible to disprove.,antonyms,MEDIUM,Impenetrable,Leaky
Consent,Permission for something to happen or agreement to do something.,general-vocabulary,MEDIUM,Sanction,Refusal
Consent,Permission for something to happen or agreement to do something.,synonyms,MEDIUM,Sanction,Refusal
Consent,Permission for something to happen or agreement to do something.,antonyms,MEDIUM,Sanction,Refusal
Submit,"To give in to authority, control, or a stronger force.",general-vocabulary,EASY,Yield,Resist
Submit,"To give in to authority, control, or a stronger force.",synonyms,EASY,Yield,Resist
Submit,"To give in to authority, control, or a stronger force.",antonyms,EASY,Yield,Resist
Insolent,Showing a rude and arrogant lack of respect.,general-vocabulary,HARD,Contemptuous,Respectful
Insolent,Showing a rude and arrogant lack of respect.,synonyms,HARD,Contemptuous,Respectful
Insolent,Showing a rude and arrogant lack of respect.,antonyms,HARD,Contemptuous,Respectful
Extrovert,A person who is socially confident and energised by interacting with others.,general-vocabulary,HARD,Outgoing,Introvert
Extrovert,A person who is socially confident and energised by interacting with others.,synonyms,HARD,Outgoing,Introvert
Extrovert,A person who is socially confident and energised by interacting with others.,antonyms,HARD,Outgoing,Introvert
Extended,"Made longer, larger, or more extensive in time, size, or scope.",general-vocabulary,EASY,Enlarged,Shortened
Extended,"Made longer, larger, or more extensive in time, size, or scope.",synonyms,EASY,Enlarged,Shortened
Extended,"Made longer, larger, or more extensive in time, size, or scope.",antonyms,EASY,Enlarged,Shortened
Tremble,"To shake involuntarily, typically as a result of anxiety, excitement, or weakness.",general-vocabulary,EASY,Shiver,Steady
Tremble,"To shake involuntarily, typically as a result of anxiety, excitement, or weakness.",synonyms,EASY,Shiver,Steady
Tremble,"To shake involuntarily, typically as a result of anxiety, excitement, or weakness.",antonyms,EASY,Shiver,Steady
Foretell,To state or indicate in advance what will happen in the future.,general-vocabulary,HARD,Predict,Recount
Foretell,To state or indicate in advance what will happen in the future.,synonyms,HARD,Predict,Recount
Foretell,To state or indicate in advance what will happen in the future.,antonyms,HARD,Predict,Recount
Solace,A feeling of comfort or relief when you are upset or in trouble.,general-vocabulary,MEDIUM,Comfort,Distress
Solace,A feeling of comfort or relief when you are upset or in trouble.,synonyms,MEDIUM,Comfort,Distress
Solace,A feeling of comfort or relief when you are upset or in trouble.,antonyms,MEDIUM,Comfort,Distress
Exquisite,Extremely beautiful or carefully made; very pleasing.,general-vocabulary,MEDIUM,Delightful,Ugly
Exquisite,Extremely beautiful or carefully made; very pleasing.,synonyms,MEDIUM,Delightful,Ugly
Exquisite,Extremely beautiful or carefully made; very pleasing.,antonyms,MEDIUM,Delightful,Ugly
Tomb,"A place where a dead person is buried, especially a large stone structure.",general-vocabulary,EASY,Grave,Cradle
Tomb,"A place where a dead person is buried, especially a large stone structure.",synonyms,EASY,Grave,Cradle
Tomb,"A place where a dead person is buried, especially a large stone structure.",antonyms,EASY,Grave,Cradle
Prepared,Made ready for something; equipped or organised in advance.,general-vocabulary,EASY,Ready,Unready
Prepared,Made ready for something; equipped or organised in advance.,synonyms,EASY,Ready,Unready
Prepared,Made ready for something; equipped or organised in advance.,antonyms,EASY,Ready,Unready
Cite,"To refer to something as evidence, or to repeat someone's words.",general-vocabulary,MEDIUM,Quote,Ignore
Cite,"To refer to something as evidence, or to repeat someone's words.",synonyms,MEDIUM,Quote,Ignore
Cite,"To refer to something as evidence, or to repeat someone's words.",antonyms,MEDIUM,Quote,Ignore
Strange,Odd or unusual; not familiar.,general-vocabulary,EASY,Unusual,Normal
Strange,Odd or unusual; not familiar.,synonyms,EASY,Unusual,Normal
Strange,Odd or unusual; not familiar.,antonyms,EASY,Unusual,Normal
Vitality,Liveliness and strength; the power to stay active and healthy.,general-vocabulary,MEDIUM,Energy,Lethargy
Vitality,Liveliness and strength; the power to stay active and healthy.,synonyms,MEDIUM,Energy,Lethargy
Vitality,Liveliness and strength; the power to stay active and healthy.,antonyms,MEDIUM,Energy,Lethargy
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",general-vocabulary,EASY,Paddle,Fly
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",synonyms,EASY,Paddle,Fly
Wade,"To walk through water or a difficult substance, moving slowly and carefully.",antonyms,EASY,Paddle,Fly
Displace,To move something from its usual place; to take the place of something else.,general-vocabulary,MEDIUM,Move,Reinstate
Displace,To move something from its usual place; to take the place of something else.,synonyms,MEDIUM,Move,Reinstate
Displace,To move something from its usual place; to take the place of something else.,antonyms,MEDIUM,Move,Reinstate
Decoy,Something used to trick or attract someone or something into a trap.,general-vocabulary,MEDIUM,Lure,Warning
Decoy,Something used to trick or attract someone or something into a trap.,synonyms,MEDIUM,Lure,Warning
Decoy,Something used to trick or attract someone or something into a trap.,antonyms,MEDIUM,Lure,Warning
Ugly,Unpleasant to look at; very unattractive.,general-vocabulary,EASY,Hideous,Beautiful
Ugly,Unpleasant to look at; very unattractive.,synonyms,EASY,Hideous,Beautiful
Ugly,Unpleasant to look at; very unattractive.,antonyms,EASY,Hideous,Beautiful
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,general-vocabulary,EASY,Reserve,Cancel
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,synonyms,EASY,Reserve,Cancel
Book,To arrange in advance; to order or reserve something (such as tickets or a table).,antonyms,EASY,Reserve,Cancel
Rural,Relating to the countryside rather than the town or city.,general-vocabulary,MEDIUM,Pastoral,Urban
Rural,Relating to the countryside rather than the town or city.,synonyms,MEDIUM,Pastoral,Urban
Rural,Relating to the countryside rather than the town or city.,antonyms,MEDIUM,Pastoral,Urban
Key,Very important; necessary for success or understanding.,general-vocabulary,EASY,Crucial,Minor
Key,Very important; necessary for success or understanding.,synonyms,EASY,Crucial,Minor
Key,Very important; necessary for success or understanding.,antonyms,EASY,Crucial,Minor
Impact,"A strong effect on something, or the act of one object hitting another.",general-vocabulary,EASY,Collision,Avoidance
Impact,"A strong effect on something, or the act of one object hitting another.",synonyms,EASY,Collision,Avoidance
Impact,"A strong effect on something, or the act of one object hitting another.",antonyms,EASY,Collision,Avoidance
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",general-vocabulary,MEDIUM,Communicate,Conceal
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",synonyms,MEDIUM,Communicate,Conceal
Convey,"To communicate or make an idea, feeling, or message understood; to carry or transport.",antonyms,MEDIUM,Communicate,Conceal
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,general-vocabulary,EASY,Volatile,Stable
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,synonyms,EASY,Volatile,Stable
Unstable,Not steady or secure; likely to change suddenly or behave unpredictably.,antonyms,EASY,Volatile,Stable
Hallucinate,"To see, hear, or sense things that are not really there.",general-vocabulary,MEDIUM,Fantasize,Perceive
