Word,Definition,Topic,Difficulty,Synonym,Antonym
Flamboyant,"Very noticeable, confident, and colourful in style.",general-vocabulary,HARD,Theatrical,Modest
Bedraggled,"Wet, dirty, and untidy.",general-vocabulary,HARD,Saturated,Neat
Pertinent,Connected to the subject being considered; suitable.,synonyms,HARD,Relevant,Irrelevant
Groggy,"Weak, tired, or unable to think clearly, often after waking up.",general-vocabulary,MEDIUM,Dazed,Alert
Calculated,"Planned or intended, not by chance.",general-vocabulary,MEDIUM,Premeditated,Spontaneous
Stinginess,Unwillingness to give or spend; a lack of generosity.,antonyms,MEDIUM,Miserliness,Generosity
Aversion,A strong feeling of not liking something or wanting to avoid it.,general-vocabulary,HARD,Dislike,Liking
Contort,To bend or twist out of a normal shape.,general-vocabulary,MEDIUM,Twist,Straighten
Buoyant,Feeling happy and confident; able to stay afloat.,spellings,HARD,Upbeat,Depressed
Harass,To trouble or annoy someone repeatedly.,spellings,MEDIUM,Pester,Comfort
Misery,Great unhappiness or physical/mental pain.,general-vocabulary,EASY,Agony,Joy
Admonish,To tell someone firmly that they have done something wrong.,general-vocabulary,HARD,Rebuke,Praise
Eaten,Already taken as food; having been eaten.,general-vocabulary,EASY,Consumed,Uneaten
Annual,Happening once every year.,general-vocabulary,EASY,Yearly,Perennial
